Roi,Area,Color,Red Pixel Count,Green Pixel Count,circularity
1,3074,Red,3074,0,0.0
2,632,Red,632,0,0.0
3,3773,Red,3773,0,0.0
4,7187,Red,7187,0,0.0
5,5689,Red,5689,0,0.0
6,464,Red,464,0,0.0
7,3251,Red,3251,0,0.0
8,2884,Red,2884,0,0.0
9,8671,Red,8671,0,0.0
10,6032,Red,6032,0,0.0
11_1,972,Red,972,0,0.0
11_2,972,Red,972,0,0.0
11_3,972,Red,972,0,0.0
11_4,972,Red,972,0,0.0
11_5,972,Red,972,0,0.0
12_1,3694,Red,3694,0,0.0
12_2,3694,Red,3694,0,0.0
13_1,1413,Red,1413,0,0.0
13_2,1413,Red,1413,0,0.0
14_1,1672,Red,1672,0,0.0
14_2,1672,Red,1672,0,0.0
14_3,1672,Red,1672,0,0.0
15,3061,Red,3061,0,0.0
16,1778,Green,0,1778,0.0
17_1,943,Green,0,943,0.0
17_2,943,Green,0,943,0.0
18,4461,Green,0,4461,0.0
19,3502,Green,0,3502,0.0
20,5418,Green,0,5418,0.0
21,12120,Green,0,12120,0.0
